date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
30/1/2020,,,,1,1,,,,,0.015,0.015,,
31/1/2020,2,2,,1,0,,0.03,0.03,,0.015,0,,
1/2/2020,2,0,,1,0,,0.03,0,,0.015,0,,
2/2/2020,2,0,,2,1,,0.03,0,,0.03,0.015,,
3/2/2020,8,6,,2,0,,0.119,0.089,,0.03,0,,
4/2/2020,8,0,,2,0,0.286,0.119,0,,0.03,0,0.004,
5/2/2020,9,1,1.286,2,0,0.286,0.133,0.015,0.019,0.03,0,0.004,
6/2/2020,9,0,1.286,2,0,0.143,0.133,0,0.019,0.03,0,0.002,
7/2/2020,9,0,1,2,0,0.143,0.133,0,0.015,0.03,0,0.002,
8/2/2020,13,4,1.571,2,0,0.143,0.193,0.059,0.023,0.03,0,0.002,
9/2/2020,14,1,1.714,2,0,0,0.207,0.015,0.025,0.03,0,0,
10/2/2020,14,0,0.857,2,0,0,0.207,0,0.013,0.03,0,0,
11/2/2020,15,1,1,2,0,0,0.222,0.015,0.015,0.03,0,0,
12/2/2020,16,1,1,2,0,0,0.237,0.015,0.015,0.03,0,0,
13/2/2020,17,1,1.143,2,0,0,0.252,0.015,0.017,0.03,0,0,
14/2/2020,18,1,1.286,2,0,0,0.267,0.015,0.019,0.03,0,0,
15/2/2020,18,0,0.714,2,0,0,0.267,0,0.011,0.03,0,0,
16/2/2020,18,0,0.571,2,0,0,0.267,0,0.008,0.03,0,0,
17/2/2020,19,1,0.714,2,0,0,0.281,0.015,0.011,0.03,0,0,
18/2/2020,19,0,0.571,2,0,0,0.281,0,0.008,0.03,0,0,
19/2/2020,20,1,0.571,2,0,0,0.296,0.015,0.008,0.03,0,0,
20/2/2020,22,2,0.714,2,0,0,0.326,0.03,0.011,0.03,0,0,
21/2/2020,23,1,0.714,2,0,0,0.341,0.015,0.011,0.03,0,0,
22/2/2020,23,0,0.714,3,1,0.143,0.341,0,0.011,0.044,0.015,0.002,
23/2/2020,28,5,1.429,3,0,0.143,0.415,0.074,0.021,0.044,0,0.002,
24/2/2020,30,2,1.571,3,0,0.143,0.444,0.03,0.023,0.044,0,0.002,
25/2/2020,34,4,2.143,3,0,0.143,0.504,0.059,0.032,0.044,0,0.002,
26/2/2020,37,3,2.429,3,0,0.143,0.548,0.044,0.036,0.044,0,0.002,
27/2/2020,44,7,3.143,3,0,0.143,0.652,0.104,0.047,0.044,0,0.002,
28/2/2020,56,12,4.714,3,0,0.143,0.83,0.178,0.07,0.044,0,0.002,
29/2/2020,61,5,5.429,3,0,0,0.904,0.074,0.08,0.044,0,0,
1/3/2020,94,33,9.429,3,0,0,1.392,0.489,0.14,0.044,0,0,
2/3/2020,134,40,14.857,4,1,0.143,1.985,0.593,0.22,0.059,0.015,0.002,
3/3/2020,189,55,22.143,4,0,0.143,2.8,0.815,0.328,0.059,0,0.002,2.39
4/3/2020,245,56,29.714,5,1,0.286,3.629,0.83,0.44,0.074,0.015,0.004,2.4
5/3/2020,294,49,35.714,7,2,0.571,4.355,0.726,0.529,0.104,0.03,0.008,2.41
6/3/2020,373,79,45.286,9,2,0.857,5.525,1.17,0.671,0.133,0.03,0.013,2.43
7/3/2020,428,55,52.429,9,0,0.857,6.34,0.815,0.777,0.133,0,0.013,2.45
8/3/2020,482,54,55.429,11,2,1.143,7.14,0.8,0.821,0.163,0.03,0.017,2.47
9/3/2020,629,147,70.714,16,5,1.714,9.317,2.177,1.047,0.237,0.074,0.025,2.5
10/3/2020,887,258,99.714,19,3,2.143,13.139,3.822,1.477,0.281,0.044,0.032,2.53
11/3/2020,1298,411,150.429,26,7,3,19.227,6.088,2.228,0.385,0.104,0.044,2.53
12/3/2020,1787,489,213.286,39,13,4.571,26.471,7.243,3.159,0.578,0.193,0.068,2.5
13/3/2020,2266,479,270.429,55,16,6.571,33.566,7.095,4.006,0.815,0.237,0.097,2.46
14/3/2020,2630,364,314.571,76,21,9.571,38.958,5.392,4.66,1.126,0.311,0.142,2.41
15/3/2020,3072,442,370,107,31,13.714,45.505,6.547,5.481,1.585,0.459,0.203,2.37
16/3/2020,3684,612,436.429,158,51,20.286,54.571,9.065,6.465,2.34,0.755,0.3,2.32
17/3/2020,4452,768,509.286,216,58,28.143,65.947,11.376,7.544,3.2,0.859,0.417,2.28
18/3/2020,5451,999,593.286,289,73,37.571,80.745,14.798,8.788,4.281,1.081,0.557,2.25
19/3/2020,6506,1055,674.143,368,79,47,96.372,15.628,9.986,5.451,1.17,0.696,2.22
20/3/2020,7760,1254,784.857,486,118,61.571,114.948,18.575,11.626,7.199,1.748,0.912,2.19
21/3/2020,8957,1197,903.857,630,144,79.143,132.679,17.731,13.389,9.332,2.133,1.172,2.16
22/3/2020,10333,1376,1037.286,813,183,100.857,153.061,20.382,15.365,12.043,2.711,1.494,2.12
23/3/2020,12668,2335,1283.429,1021,208,123.286,187.649,34.588,19.011,15.124,3.081,1.826,2.08
24/3/2020,15039,2371,1512.429,1284,263,152.571,222.771,35.121,22.403,19.02,3.896,2.26,2.03
25/3/2020,17732,2693,1754.429,1621,337,190.286,262.662,39.891,25.988,24.012,4.992,2.819,1.98
26/3/2020,20816,3084,2044.286,2034,413,238,308.344,45.683,30.282,30.129,6.118,3.525,1.94
27/3/2020,24017,3201,2322.429,2497,463,287.286,355.76,47.416,34.402,36.988,6.858,4.256,1.89
28/3/2020,26839,2822,2554.571,3013,516,340.429,397.562,41.802,37.84,44.631,7.643,5.043,1.84
29/3/2020,29696,2857,2766.143,3599,586,398,439.883,42.32,40.974,53.311,8.68,5.896,1.79
30/3/2020,33969,4273,3043,4310,711,469.857,503.178,63.295,45.076,63.843,10.532,6.96,1.74
31/3/2020,38484,4515,3349.286,5141,831,551,570.058,66.88,49.612,76.153,12.309,8.162,1.69
1/4/2020,43398,4914,3666.571,6065,924,634.857,642.848,72.79,54.312,89.84,13.687,9.404,1.64
2/4/2020,48263,4865,3921,7072,1007,719.714,714.913,72.065,58.081,104.757,14.917,10.661,1.59
3/4/2020,53178,4915,4165.857,8133,1061,805.143,787.718,72.805,61.708,120.473,15.716,11.926,1.55
4/4/2020,57198,4020,4337,9280,1147,895.286,847.266,59.548,64.243,137.463,16.99,13.262,1.5
5/4/2020,60792,3594,4442.286,10500,1220,985.857,900.503,53.237,65.803,155.535,18.072,14.603,1.46
6/4/2020,66067,5275,4585.429,11670,1170,1051.429,978.641,78.138,67.923,172.866,17.331,15.575,1.41
7/4/2020,71517,5450,4719,12963,1293,1117.429,1059.371,80.73,69.902,192.019,19.153,16.552,1.37
8/4/2020,76646,5129,4749.714,14424,1461,1194.143,1135.346,75.975,70.357,213.661,21.642,17.689,1.33
9/4/2020,81498,4852,4747.857,15799,1375,1246.714,1207.218,71.872,70.329,234.028,20.368,18.467,1.3
10/4/2020,85813,4315,4662.143,17118,1319,1283.571,1271.135,63.917,69.06,253.566,19.538,19.013,1.27
11/4/2020,89390,3577,4598.857,18483,1365,1314.714,1324.121,52.986,68.122,273.786,20.22,19.475,1.24
12/4/2020,92885,3495,4584.714,19861,1378,1337.286,1375.892,51.771,67.913,294.198,20.412,19.809,1.21
