exoplanet_name,star_name,M,M_errmin,M_errmax,m,m_errmin,m_errmax,P,P_errmin,P_errmax,a,a_errmin,a_errmax
11 Oph b,11 Oph,0.0162,0.005,0.005,21,3,3,730000,365000,365000,243,55,55
2M 2140+16 b,2M 2140+16,0.08,0.06,0.06,20,20,80,7340,584,584,3.53,0.15,0.15
2M 2206-20 b,2M 2206-20,0.13,0.05,0.05,30,20,70,8686,69.4,69.4,4.48,0.4,0.4
2M1059-21 b,2M1059-21,0.81,0.008,0.002,66.95,4.84,4.41,690,3,3.4,0.8,0.02,0.01
51 Eri b,51 Eri,1.75,0.05,0.05,2.6,0.3,0.3,10260,1800,6300,11.1,1.3,4.2
55 Cnc b,55 Cnc,1.015,0.051,0.051,0.84,0.031,0.23,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011
55 Cnc e,55 Cnc,1.015,0.051,0.051,0.02703,0.00135,0.00135,0.7365478,1.20E-06,1.60E-06,0.015439,1.50E-05,1.50E-05
ASASSN-16kr b,ASASSN-16kr,0.952,0.018,0.018,42,1,1,0.061285932,1.00E-09,1.00E-09,0.003,0.005,0.005
ASASSN-17jf b,ASASSN-17jf,0.669,0.031,0.031,60,8,8,0.0567904,7.00E-07,7.00E-07,0.0026,0.009,0.009
AU Mic b,AU Mic,0.5,0.03,0.03,0.0368,0.016,0.016,8.463,2.00E-06,2.00E-06,0.0645,0.0013,0.0013
AU Mic c,AU Mic,0.5,0.03,0.03,0.0698,0.0211,0.0211,18.859019,1.60E-06,1.60E-06,0.1101,0.0022,0.0022
BD+20 594 b,BD+20 594,1.67,0.4,0.4,0.07,0.03,0.03,41.6855,0.0031,0.0031,0.241,0.019,0.019
CoRoT-1 b,CoRoT-1,0.95,0.15,0.15,1.03,0.12,0.12,1.50896848,1.10E-07,1.10E-07,0.0254,0.0004,0.0004
CoRoT-10 b,CoRoT-10,0.89,0.05,0.05,2.75,0.14,0.14,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021
CoRoT-11 b,CoRoT-11,1.27,0.05,0.05,2.33,0.27,0.27,2.994325,2.10E-05,2.10E-05,0.04351,0.00036,0.00036
CoRoT-12 b,CoRoT-12,1.078,0.072,0.072,0.917,0.065,0.07,2.8280517,1.20E-06,1.20E-06,0.04016,0.00092,0.00092
CoRoT-13 b,CoRoT-13,1.09,0.02,0.02,1.308,0.066,0.066,4.0350906,3.60E-06,3.60E-06,0.051,0.0031,0.0031
CoRoT-14 b,CoRoT-14,1.13,0.09,0.09,7.6,0.6,0.6,1.51214,0.00013,0.00013,0.027,0.002,0.002
CoRoT-16 b,CoRoT-16,1.098,0.078,0.078,0.535,0.085,0.085,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015
CoRoT-17 b,CoRoT-17,1.04,0.1,0.1,2.43,0.16,0.16,3.768125,0.000257,0.000257,0.0461,0.0008,0.0008
CoRoT-18 b,CoRoT-18,0.95,0.15,0.15,3.47,0.38,0.38,1.90009057,4.40E-07,4.40E-07,0.0295,0.0016,0.0016
CoRoT-19 b,CoRoT-19,1.21,0.06,0.06,1.11,0.06,0.06,3.8971372,2.10E-06,2.10E-06,0.0518,0.0008,0.0008
CoRoT-2 b,CoRoT-2,0.97,0.06,0.06,3.31,0.16,0.16,1.7429964,1.70E-06,1.70E-06,0.0281,0.0009,0.0009
CoRoT-20 b,CoRoT-20,1.14,0.08,0.08,4.24,0.23,0.23,9.2431839,7.20E-06,7.20E-06,0.0902,0.0021,0.0021
CoRoT-21 b,CoRoT-21,1.29,0.09,0.09,2.26,0.31,0.31,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011
CoRoT-22 b,CoRoT-22,1.099,0.049,0.049,0.06,0.0214,0.0941,9.75598,0.00011,0.00011,0.092,0.0014,0.0014
CoRoT-23 b,CoRoT-23,1.14,0.08,0.08,2.8,0.25,0.25,3.6314,0.0001,0.0001,0.0477,0.0038,0.0038
CoRoT-24 c,CoRoT-24,0.91,0.09,0.09,0.088,0.035,0.035,11.759,0.0063,0.0063,0.098,0.003,0.003
CoRoT-25 b,CoRoT-25,1.09,0.05,0.11,0.27,0.04,0.04,4.86069,6.00E-05,6.00E-05,0.0578,0.0029,0.0029
CoRoT-26 b,CoRoT-26,1.09,0.06,0.06,0.52,0.05,0.05,4.20474,5.00E-05,5.00E-05,0.0526,0.001,0.001
CoRoT-27 b,CoRoT-27,1.05,0.11,0.11,10.39,0.55,0.55,3.57532,6.00E-05,6.00E-05,0.0476,0.0066,0.0066
CoRoT-29 b,CoRoT-29,0.976,0.14,0.14,0.85,0.2,0.2,2.85057,6.00E-06,6.00E-06,0.039,0.002,0.002
CoRoT-3 b,CoRoT-3,1.41,0.08,0.08,21.66,1,1,4.2567994,5.00E-06,5.00E-06,0.057,0.003,0.003
CoRoT-30 b,CoRoT-30,0.98,0.05,0.03,2.9,0.22,0.22,9.06005,0.00024,0.00024,0.0844,0.0012,0.0012
CoRoT-31 b,CoRoT-31,1.25,0.22,0.22,0.84,0.34,0.34,4.62941,0.00075,0.00075,0.0586,0.0034,0.0034
CoRoT-32 b,CoRoT-32,1.09,0.08,0.08,0.15,0.1,0.1,6.71837,1.00E-05,1.00E-05,0.071,0.001,0.001
CoRoT-35 b,CoRoT-35,1.01,0.07,0.07,1.1,0.37,0.37,3.22748,8.00E-05,8.00E-05,0.0429,0.00092,0.00092
CoRoT-36 b,CoRoT-36,1.32,0.09,0.09,0.68,0.68,0.47,5.616531,2.30E-05,2.30E-05,0.066,0.007,0.007
CoRoT-4 b,CoRoT-4,1.1,0.02,0.02,0.72,0.08,0.08,9.20166201,4.00E-06,4.00E-06,0.09,0.001,0.001
CoRoT-5 b,CoRoT-5,1,0.02,0.02,0.467,0.024,0.047,4.0379148,1.10E-06,1.10E-06,0.04947,0.00029,0.00029
CoRoT-6 b,CoRoT-6,1.055,0.055,0.055,2.96,0.34,0.34,8.886593,4.00E-06,4.00E-06,0.0855,0.0015,0.0015
CoRoT-7 b,CoRoT-7,0.93,0.03,0.03,0.041812,0.002168,0.002168,0.8535,6.00E-07,6.00E-07,0.0172,0.00029,0.00029
CoRoT-8 b,CoRoT-8,0.88,0.04,0.04,0.2158,0.034,0.034,6.21229,3.00E-05,3.00E-05,0.063,0.001,0.001
CoRoT-9 b,CoRoT-9,0.99,0.04,0.04,0.84,0.07,0.07,95.273804,0.0014,0.0014,0.407,0.005,0.005
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,0.07,0.01,0.01,28.5,1.9,1.9,246.36,1.35,1.38,0.36,0.01,0.01
DS Tuc A b,DS Tuc A,0.959,0.031,0.031,0.0453,0.0453,0,8.138268,1.00E-05,1.00E-05,0.0795,0.003,0.003
EPIC 205084841 b,EPIC 205084841,1.168,0.094,0.12,0.3883,0.303,0.303,11.310099,0.00045,0.00045,0.104,0.003,0.003
EPIC 211442297 b,K2-115,0.95,0.02,0.02,0.84,0.18,0.2,20.273034,3.60E-05,3.70E-05,0.1367,0.0012,0.001
EPIC 211945201 b,EPIC 211945201,1.17,0.04,0.04,0.085,0.0396,0.044,19.49221,0.000653,0.000666,0.1493,0.0015,0.0015
EPIC 212036875 b,EPIC 212036875,1.1241,0.11,0.1,51,2,2,5.16992,2.00E-05,2.00E-05,0.0621,0.002,0.0016
EPIC 212737443 b,EPIC 212737443,0.69,0.038,0.038,0.02907,0.00831,0.00831,13.603,0.0013,0.0013,0.098,0.004,0.004
EPIC 212737443 c,EPIC 212737443,0.69,0.038,0.038,0.0303,0.00812,0.00812,65.55,0.009,0.009,0.28,0.006,0.006
EPIC 219388192 b,EPIC 219388192,0.99,0.05,0.05,36,1.6,1.6,5.292569,2.60E-05,2.60E-05,0.0593,0.0013,0.0013
EPIC 246193072 b,EPIC 246193072,0.901,0.049,0.049,0.26,0.022,0.022,12.4551225,3.10E-06,3.10E-06,0.1016,0.0019,0.0019
EPIC 246851721 b,EPIC 246851721,1.324,0.04,0.04,3,1.2,1.1,6.180235,1.40E-05,1.40E-05,0.07229,0.00075,0.00074
Exomoon Kepler-1708 b-i,Kepler-1708,1.088,0.072,0.072,0.116,0.116,0,4.6,1.8,3.1,0.05,0.01,0.018
G 9-40 b,G 9-40,0.29,0.02,0.02,0.013,0.00198,0.00198,5.7459982,2.00E-06,2.00E-06,0.0418,0.00064,0.00064
GJ 1132 b,GJ 1132,0.181,0.019,0.019,0.00522,0.00072,0.00072,1.628931,2.70E-05,2.70E-05,0.0154,0.0015,0.0015
GJ 1214 b,GJ 1214,0.15,0.011,0.011,0.02571,0.00135,0.00135,1.580404497,3.00E-08,3.00E-08,0.01411,0.00032,0.00032
GJ 1252 b,GJ 1252,0.381,0.019,0.019,0.00415,0.00176,0.00176,0.5182349,5.00E-06,6.30E-06,0.00916,0.00076,0.00076
GJ 143 b,GJ 143,0.76,0.007,0.007,0.0714,0.006,0.0069,35.61253,0.00062,0.0006,0.1932,0.0002,0.0002
GJ 2030 c,GJ 2030,1,0.1,0.1,12.934,2.36,2.36,25635,2500,2500,16.752,1.31,1.31
GJ 3090 b,GJ 3090,0.519,0.013,0.013,0.01051,0.00227,0.00227,2.8531054,2.30E-06,2.30E-06,0.03165,0.00027,0.00027
GJ 3470 b,GJ 3470,0.51,0.06,0.06,0.03958,0.00403,0.00412,3.336649,8.10E-05,8.40E-05,0.03557,0.001,0.001
GJ 3473 b,GJ 3473,0.36,0.016,0.016,0.00585,0.0009,0.0009,1.1980035,1.90E-06,1.90E-06,0.01589,0.00062,0.00062
GJ 357 b,GJ 357,0.342,0.011,0.011,0.006566,0.00101,0.00101,3.93086,4.00E-05,4.00E-05,0.033,0.001,0.001
GJ 3634 b,GJ 3634,0.45,0.05,0.05,0.026,0.007,0.0188,2.64561,0.00066,0.00066,0.0287,0.0011,0.0011
GJ 367  b,GJ 367,0.454,0.011,0.011,0.00047,0.00013,0.00022,0.3219659,4.00E-07,4.00E-07,0.0069,0.0001,0.0001
GJ 3929 b,GJ 3929,0.309,0.014,0.014,0.00381,0.0013,0.0013,2.6162745,2.90E-06,3.00E-06,0.02569,0.00088,0.00088
GJ 436 b,GJ 436,0.452,0.012,0.012,0.07,0.0052,0.0052,2.64394,9.85E-05,9.85E-05,0.02887,0.00095,0.00095
GJ 486 b,GJ 486,0.323,0.15,0.15,0.00887,0.00038,0.00038,1.467119,3.00E-05,3.00E-05,0.01734,0.00027,0.00027
GJ 676 A b,GJ 676 A,0.71,0.04,0.04,6.7,1.5,1.8,1052.1,0.4,0.4,1.812,0.001,0.002
GJ 676 A c,GJ 676 A,0.71,0.04,0.04,6.8,0,32.2,7337,92,95,6.6,0.1,0.1
GJ 876 d,GJ 876,0.334,0.03,0.03,0.021741,0.00085,0.00069,1.938,0.001,0.001,0.021,0.001,0.001
GJ 876 e,GJ 876,0.334,0.03,0.03,0.04855,0.004,0.00406,124.4,0.7,0.3,0.345,0.002,0.001
GJ 896A b,GJ 896A,0.43589,0.00047,0.00047,2.26,0.57,0.57,284.39,1.5,1.5,0.64282,0.00068,0.00068
GJ 9827 b,GJ 9827,0.659,0.06,0.06,0.01532,0.00116,0.00116,1.2089765,2.30E-06,2.30E-06,0.01866,0.0002,0.0002
GJ 9827 c,GJ 9827,0.659,0.06,0.06,0.00604,0.00154,0.00154,3.648086,0.0001,0.0001,0.03896,0.0004,0.0004
GJ 9827 d,GJ 9827,0.659,0.06,0.06,0.01076,0.00195,0.00195,6.20183,1.00E-05,1.00E-05,0.0555,0.00057,0.00057
GPX-1 b,GPX-1,1.68,0.1,0.1,19.7,1.6,1.6,1.744579,8.00E-06,8.00E-06,0.0338,0.0003,0.0003
Gaia-1 b,Gaia-1,0.93,0.12,0.12,1.68,0.11,0.11,3.042524,1.70E-05,1.70E-05,0.04047,0.00094,0.00094
Gaia-2 b,Gaia-2,1,0.095,0.095,0.773,0.041,0.041,3.6915237,3.50E-06,3.50E-06,0.0467,0.0015,0.0015
HAT-P-1 b,HAT-P-1,1.151,0.052,0.052,0.525,0.019,0.019,4.46529976,5.50E-07,5.50E-07,0.05561,0.00083,0.00083
HAT-P-10 A b,HAT-P-10 A,0.82,0.03,0.03,0.46,0.028,0.028,3.722469,6.70E-06,6.70E-06,0.0439,0.0009,0.0009
HAT-P-11 b,HAT-P-11,0.809,0.03,0.02,0.0736,0.0047,0.0047,4.887802443,3.00E-08,3.00E-08,0.053,0.0008,0.0008
HAT-P-11 c,HAT-P-11,0.809,0.03,0.02,2.3,0.5,0.7,3397,71,64,4.13,0.16,0.29
HAT-P-12 b,HAT-P-12,0.73,0.02,0.02,0.210489885,0.013183148,0.013183148,3.2130598,2.10E-06,2.10E-06,0.0384,0.0003,0.0003
